NAIFID;en_EN;ru_RU Russian_Russia;
2000210;Isabella;Изабелла;
2000735;Marghanna;Маргханна;
2000211;Isolda;Изольда;
2000466;Tisiphone;Тисифона;
2000084;Klio;Клио;
2000057;Mnemosyne;Мнемозина;
2000175;Andromache;Андромаха;
2000337;Devosa;Девоса;
2000213;Lilaea;Лилея;
2000102;Miriam;Мириам;
2000313;Chaldaea;Халдея;
2000626;Notburga;Нотбурга;
2000115;Thyra;Тира;
2000326;Tamara;Тамара;
2000760;Massinga;Массинга;
2000696;Leonora;Леонора;
2000454;Mathesis;Матезида;
2000160;Una;Уна;
2000980;Anacostia;Анакостия;
2000236;Honoria;Гонория;
2000225;Henrietta;Генриетта;
2000535;Montague;Монтегю;
2000106;Dione;Диона;
2000464;Megaira;Мегера;
2000075;Eurydike;Эвридика;
2000814;Tauris;Таврида;
2000030;Urania;Урания;
2000516;Amherstia;Амхерстия;
2000080;Sappho;Сапфо;
2000569;Misa;Миса;
2000223;Rosa;Роза;
2000752;Sulamitis;Суламита;
2000784;Pickeringia;Пикерингия;
2000077;Frigga;Фригга;
2000205;Martha;Марфа;
2000465;Alekto;Алекто;
2000691;Lehigh;Лихай;
2000287;Nephthys;Нефтида;
2000694;Ekard;Экард;
2000329;Svea;Свея;
2000099;Dike;Дике;
2000079;Eurynome;Эвринома;
2000172;Baucis;Бавкида;
2000604;Tekmessa;Текмесса;
2000224;Oceana;Океана;
2000485;Genua;Генуя;
2000914;Palisana;Пализана;
2000593;Titania;Титания;
2000909;Ulla;Улла;
2000584;Semiramis;Семирамида;
2000082;Alkmene;Алкмена;
2000442;Eichsfeldia;Айхсфельдия;
2000198;Ampella;Ампелия;
2000547;Praxedis;Пракседида;
2000025;Phocaea;Фокея;
2000177;Irma;Ирма;
2000113;Amalthea;Амальтея;
2000112;Iphigenia;Ифигения;
2000338;Budrosa;Будроса;
2000347;Pariana;Париана;
2001036;Ganymed;Ганимед;
2000778;Theobalda;Теобальда;
2000132;Aethra;Эфра;
2000591;Irmgard;Ирмгард;
2000060;Echo;Эхо;
2000336;Lacadiera;Лакадира;
2000432;Pythia;Пифия;
2000118;Peitho;Пейто;
2000623;Chimaera;Химера;
2000585;Bilkis;Билкис;
2000433;Eros;Эрос;
2090482;Orcus;Орк;
2307261;2002 MS4;
3361580;2006 QH181;
2120347;Salacia;Салация;
2455502;2003 UZ413;
2208996;2003 AZ84;
2055565;2002 AW197;
2020000;Varuna;Варуна;
2028978;Ixion;Иксион;
2174567;Varda;Варда;
2090568;2004 GV9;
2230965;2004 XA192;
2145452;2005 RN43;
3525142;2010 KZ39;
3308265;2004 XR190;
2042301;2001 UR163;
2278361;2007 JJ43;
2225088;Gonggong;Гунгун;
3515022;2010 FX86;
2019521;Chaos;Хаос;
2084522;2002 TC302;
2528381;2008 ST291;
2523639;2010 RE64;
2055637;2002 UX25;
3545742;2010 RF43;
2050000;Quaoar;Квавар;
